Agency,State,Months,Population,Violent_crime_total,Murder_and_Manslaughter,Forcible_rape,Robbery,Aggravated_assault,Property_crime_total,Burglary,Larceny_theft,Motor_vehicle_theft,lat,long
Simi Valley Police Dept,CA,12,126686,141,3,7,36,95,1916,398,1394,124,34.2694,118.7815
Sioux Falls Police Dept,SD,12,158354,631,2,139,70,420,5041,899,3843,299,43.5446,96.7311
South Bend Police Dept,IN,12,101398,622,18,55,316,233,4827,1744,2798,285,41.6764,86.252
Spokane Police Dept,WA,12,212163,1369,13,81,537,738,18522,3827,12600,2095,47.6588,117.426
Springfield Police Dept,IL,12,117131,1138,10,76,260,792,6945,1670,5033,242,44.0642,123.022
Springfield Police Dept,MA,12,154518,1606,11,39,542,1014,7024,2317,3947,760,42.1015,72.5898
Springfield Police Dept,MO,12,160962,1596,16,141,353,1086,14504,2215,11238,1051,37.209,93.2923
St. Petersburg Police Dept,FL,12,248340,2239,15,94,585,1545,12451,2933,8642,876,27.7518,82.6267
Stamford Police Dept,CT,12,124201,351,5,25,145,176,1932,290,1472,170,41.0534,73.5387
Sterling Heights Police Dept,MI,12,129974,232,4,16,30,182,2578,357,2059,162,42.5803,83.0302
Sunnyvale Dept Of Public Safety,CA,12,143606,170,3,14,71,82,2555,524,1696,335,37.3688,122.0363
Surprise Police Dept,AZ,12,120793,162,3,8,62,89,2488,519,1851,118,33.6292,112.3679
Syracuse Police Dept,NY,12,145934,1372,14,75,454,829,5976,1896,3698,382,43.0481,76.1474
Tacoma Police Dept,WA,12,202646,1615,12,93,486,1024,12866,2965,7995,1906,47.2529,122.4443
Tallahassee Police Dept,FL,12,185461,1582,12,115,525,930,8617,2630,5463,524,30.4383,84.2807
Temecula,CA,12,103414,97,0,10,53,34,2440,588,1640,212,33.4936,117.1484
Tempe Police Dept,AZ,12,166061,878,11,44,253,570,7824,1250,6085,489,33.4255,111.94
Thornton Police Dept,CO,12,123115,332,1,58,41,232,3257,476,2431,350,39.868,104.9719
Thousand Oaks,CA,12,129171,157,0,23,46,88,1838,278,1470,90,34.1706,118.8376
Topeka Police Dept,KS,12,128843,772,15,39,237,481,6841,1277,4967,597,39.0558,95.689
Torrance Police Dept,CA,12,147851,190,4,17,92,77,2690,529,1823,338,33.8358,118.3406
Tyler Police Dept,TX,12,100040,537,4,45,92,396,4506,1025,3350,131,32.3513,95.3011
Vallejo Police Dept,CA,12,117912,878,14,44,380,440,5844,2688,1681,1475,38.1041,122.2566
Vancouver Police Dept,WA,12,166375,592,5,72,172,343,6478,1044,4343,1091,49.2827,123.1207
Ventura Police Dept,CA,12,108511,310,1,24,140,145,3885,778,2825,282,34.2746,119.229
Victorville,CA,12,118687,676,6,40,222,408,4465,1837,1981,647,34.5362,117.2928
Visalia Police Dept,CA,12,127604,544,5,44,134,361,5531,1227,3778,526,36.3302,119.2921
City Of Waco Police Dept,TX,12,128595,635,6,63,182,384,5844,1550,4139,155,31.5493,97.1467
Warren Police Dept,MI,12,134340,715,0,91,148,476,3787,999,2049,739,42.5145,83.0147
Waterbury Police Dept,CT,12,110486,328,5,7,185,131,4713,662,3538,513,41.5582,73.0515
West Covina Police Dept,CA,12,107861,281,2,11,108,160,3224,546,2135,543,34.0686,117.939
West Jordan Police Dept,UT,12,107103,199,2,24,33,140,2966,474,2264,228,40.6097,111.9391
West Palm Beach Police Dept,FL,12,102422,821,17,31,334,439,5404,1289,3801,314,26.7153,80.0534
West Valley Police Dept,UT,12,133725,599,1,90,120,388,5569,940,3972,657,40.6916,112.0011
Westminster Police Dept,CO,12,109461,284,2,29,51,202,2830,395,2146,289,39.8367,105.0372
Wichita Falls Police Dept,TX,12,105488,475,5,36,150,284,5021,1259,3532,230,33.9137,98.4934
Wilmington Police Dept,NC,12,109370,618,8,23,261,326,5910,1694,3843,373,34.225,77.9447
Winston-Salem Police Dept,NC,12,234687,1556,6,74,428,1048,13701,4529,8490,682,30.0999,80.2442
Woodbridge Police Dept,NJ,12,100612,122,0,3,55,64,1967,338,1514,115,38.6582,77.2497
Worcester Police Dept,MA,12,183247,1758,8,33,419,1298,6432,2040,3927,465,42.2626,71.8023
Yonkers Police Dept,NY,12,198464,1133,4,28,422,679,2565,535,1799,231,40.9312,73.8987
